银行名称,外部资产
开发银行,1443017
进出口银行,41705
农业发展银行,-356524
中国银行,8327449
中国建设银行,3615909
中国工商银行,3867768
中国农业银行,3400296
兴业银行,1036336
广发银行,300393
交通银行,4307987
浦发银行,725219
平安银行,542806
中国民生银行,538821
招商银行,601184
中信银行,721911
光大银行,626595
华夏银行,426447
上海农商银行,76560
重庆银行,36500
鄞州银行,29134
北京银行,318184
上海银行,323174
恒丰银行,53697
浙商银行,315279
南京银行,396399
广州银行,59072
成都银行,78873
富滇银行,30217
西安银行,38042
兰州银行,21786
蒙商银行,40159
富邦华一银行,5518
厦门国际银行,84995
重庆农村商业银行,-4901
天津农商银行,14675
北京农商银行,37103
武汉农村商业银行,19086
宁波银行,324971
中国邮政储蓄银行,2151048
乌鲁木齐银行,27375
湖北银行,44911
唐山银行,25954
杭州联合银行,32307
华商银行,-2538
河北银行,153557
晋江农商银行,-1102
德清农商银行,3575
长安银行,21742
德州银行,4039
金华银行,2989
广东华兴银行,50077
瑞穗中国,28858
姜堰农村商业银行,803
齐鲁银行,17280
昆仑银行,34718
三井住友(中国),20633
吉林银行,34328
张家港行,4848
无锡农村商业银行,14731
杭州银行,207469
汉口银行,8330
济宁银行,13862
广东揭阳农村商业银行,2423
贵阳银行,27452
萧山农商银行,14423
汇丰中国,89959
慈溪农村商业银行,12394
延边农商银行,9691
珠海华润银行,33244
苏州农村商业银行,12415
柳州银行,-771
台州银行,41576
青农商行,56050
舒城农商银行,-548
潍坊银行,23399
大连银行,58915
东莞银行,67352
广西北部湾银行,64185
合肥科技农村商业银行,28191
厦门银行,34919
邢台银行,17607
韩亚银行,8749
宁夏银行,21406
龙江银行,49294
东营银行,18101
绍兴银行,-5421
郑州银行,-330
南海农商银行,30045
江苏银行,237444
浙江民泰商业银行,26781
石嘴山银行,7922
桂林银行,38926
福建海峡银行,28845
湖南银行,764
长城华西银行,5466
顺德农村商业银行,44433
南安农村商业银行,-1595
浙江泰隆商业银行,32052
浙江稠州商业银行,55832
东亚中国,19078
友利(中国),3108
佛山农商银行,9233
摩根大通银行(中国),25442
江阴银行,4822
南商(中国),8175
苏州银行,55722
瑞丰银行,5672
秦皇岛银行,17968
盘谷中国,1001
大连农商银行,18713
常熟银行,10850
江南农村商业银行,48491
紫金农商银行,7354
昆山农商银行,14921
湖州银行,2211
泉州银行,13806
莆田农商银行,730
青岛银行,36415
莱商银行,8492
重庆三峡银行,21421
绵阳市商业银行,24948
澳新(中国),6971
青海银行,16702
广东南粤银行,30025
肥西农村商业银行,-2520
安徽桐城农商银行,2799
长沙银行,144255
齐商银行,27976
玉环农商银行,2660
太仓农村商业银行,1940
温州银行,55654
珠海农商银行,4556
福州农商银行,1369
西宁农商银行,-2559
成都农商银行,65086
福建南平农商银行,1427
云南红塔银行,16419
厦门农商银行,11807
十堰农商行,-1845
中山农商银行,17506
宁德农商银行,45
启东农商银行,-1577
临商银行,4981
宜兴农村商业银行,545
大丰农商银行,-622
余杭农村商业银行,2996
富阳农商银行,-304
黄岩农商银行,468
廊坊银行,21706
宁波通商银行,6906
广东省农信联社,20728
首都银行(中国),1149
华侨永亨中国,11515
星展中国,30210
永安农商行,434
惠安联社,1294
仙游农商银行,2217
闽侯联社,785
石狮农商行,-1431
长乐农商行,634
安溪农商银行,374
南浔银行,2429
六安农商银行,647
雅安市商业银行,1972
乐清农商银行,827
上虞农商银行,3962
新昌农商银行,1045
江山农商银行,2712
平湖农商银行,915
法巴中国,23918
福鼎联社,497
龙海农商银行,-804
龙岩农商银行,1405
长汀联社,3448
连城联社,53
南昌农商银行,70
简阳农商银行,1811
诸暨农商银行,7998
颍泉农商银行,31
抚州农商银行,-1612
四川银行,36334
