银行名称,外部资产
JPM,516491
BAC ,228317
"CFU.F 

",21453
"WFC 

",128042
"USBC.VI 

",43351
TFC ,-10521
GS ,107783
BK ,12119
"STT 

",33318
FRCB ,5239
FC6A.SG ,-317
"FITB 

",47079
MS ,55473
MTB,7311
KEY ,-3263
"HBAN 
",22995
ALLY ,3671
AXP ,4198
RF ,3305
NTRS ,25297
DFS ,11987
BZI.F ,3203
"CMA 

",15625
ZION ,-5688
FHN ,1008
WBS ,7957
WAL ,-3282
EWBC ,424
VLY ,482
"SNV 

",71
UMBF ,826
CADE,-2344
CFR ,719
"ONB 

",505
"BOKF 

",7920
SSB ,758
FBAK ,0
RJF ,-476
ASB ,-2408
UMBF ,825
PB ,-1850
"HWC 

",-1307
UBSI ,623
DB ,240017
DHF ,91145
CBSH ,685
"FIBK 

",-1978
UBSI ,623
OZK ,17
TCBI ,-932
FBAK ,0
GBCI ,382
SFNC ,200
FULT ,1730
ABCB ,395
UCBI ,36
"FHB 

",3076
BOH ,491
CUBI ,-242
PPBI ,135
"SF 

",840
HOPE ,256
"AUB 

",-799
TRMK ,0
FRME ,122
MCHB ,5908
RNST ,-506
WSBC ,-123
FFIN ,293
TOWN ,61
"WFC 

",97419
