银行名称,外部资产
Erste Group Bank AG,58248812
Raiffeisen Bank International AG,47948069
UniCredit Bank Austria AG,8455000
BAWAG Group AG,5261000
Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,4911985
Oesterreichische Kontrollbank AG,2426171
Erste Bank der oesterreichischen Sparkassen AG,6538800
Raiffeisenlandesbank NiederÖsterreich-Wien AG,6957707
Oberbank AG,5144850
Steiermärkische Bank und Sparkassen AG,3357100
Raiffeisen-Landesbank Steiermark AG,5213181
HYPO NOE Landesbank für Niederösterreich und Wien AG,2174304
Hypo Vorarlberg Bank AG,2571854
Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft,3126300
Bank für Tirol und Vorarlberg AG,4695134
BKS Bank AG,2465359
Raiffeisen-Landesbank Tirol AG,1265527
Hypo Tirol Bank AG,1822773
DenizBank AG,3579871
Raiffeisen Bausparkasse Gesellschaft m.b.H.,690966
Oberösterreichische Landesbank Aktiengesellschaft,921203
Bausparkasse Wüstenrot AG,742103
Addiko Bank AG,2008100
Kärntner Sparkasse AG,908654
Tiroler Sparkasse Bankaktiengesellschaft Innsbruck,345182
Landes-Hypothekenbank Steiermark Aktiengesellschaft,677642
"Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband, Registrierte",669941
Volkskreditbank AG,701048
Salzburger Landes-Hypothekenbank Aktiengesellschaft,248566
Austrian Anadi Bank AG,211644
"Sparkasse Kufstein, Tiroler Sparkasse von 1877",346824
Raiffeisen Regionalbank Modling Egen (mbh),197266
Hypo-Wohnbaubank AG,5658
Raiffeisenbank Mittleres Mostviertel eGen mbH,199294
Raiffeisen Bezirksbank Kufstein eGen,154900
s Wohnbaubank AG,19331
Sparkasse Baden,145000
Sparkasse Neunkirchen,121875
Raiffeisenbank Salzkammergut eGen,199026
Sparkasse der Stadt Kitzbühel,126538
Bank Austria Wohnbaubank AG,44406
Österreichische Ärzte- und Apothekerbank AG,52466
Banco do Brasil Aktiengesellschaft,295261
BAWAG P.S.K. Wohnbaubank AG,45040
Sparkasse Bludenz Bank AG,71923
Sparkasse Mühlviertel-West Bank Aktiengesellschaft,69694
Sparkasse Neuhofen Bank AG,85684
Raiffeisenbank Weinviertel Nordost eGen,89009
Raiffeisenbank Lipizzanerheimat eGen,104503
ICBC Austria Bank GmbH,306703
bank99 AG,613634
Raiffeisenregionalbank Wiener Neustadt eGen mbH,82774
Raiffeisenbank Hallein-Oberalm eGen,53518
Sparkasse Ried im Innkreis-Haag am Hausruck,62985
Raiffeisenbank am Hofsteig eGen,43217
Sparkasse Reutte AG,57003
Lienzer Sparkasse AG,66283
Sparkasse Herzogenburg-Neulengbach Bank AG,56045
Bank Winter & Co. AG,233216
Sparkasse Rattenberg Bank AG,41611
Sparkasse Feldkirchen/Kärnten,76958
Sparkasse der Gemeinde Egg,47445
Raiffeisen Bank Villach Registrierte Genossenschaft mit beschränkter Haftung,42598
Raiffeisenbank Laa/Thaya eGen,35622
Raiffeisenbank Wildon-Preding eGen,41262
Sparkasse Frankenmarkt AG,43454
Bankhaus Denzel AG,41331
Sparkasse Pottenstein N.Ö.,24720
Sparkasse Pöllau AG,24036
Sparkasse Mürzzuschlag AG,20621
WSK Bank AG,36253
Raiffeisenbank Windischgarsten eGen,18157
Die Zweite Wiener Vereins-Sparcasse,6138
