银行名称,外部资产
BNP Paribas SA,308703000
Crédit Agricole Group,197792000
Crédit Agricole S.A.,194269000
Groupe BPCE,153403000
Société Générale Société anonyme,168179000
BPCE SA,148709000
Caisse Fédérale de Crédit Mutuel,99575000
Crédit Mutuel Alliance Fédérale,99575000
La Banque Postale S.A.,1783000
Banque Fédérative du Crédit Mutuel Société anonyme,99110000
Crédit Agricole Corporate and Investment Bank S.A.,54435000
Crédit Industriel et Commercial,57823000
"HSBC Continental Europe, S.A",29508000
Crédit Mutuel Arkéa,12901851
Dexia Crédit Local S.A.,9866000
Crédit Foncier de France S.A.,1351000
Crédit du Nord Société Anonyme,17026500
BRED Banque Populaire S.A.,701807
Compagnie de Financement Foncier,1349339
CIC Lyonnaise de Banque Société Anonyme,75140
Caisse d'Epargne et de Prevoyance Bretagne Pays de Loire,50871
Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative,108132
Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative,105381
Banque Populaire Grand Ouest,106817
"Caisse d'Epargne et de Prévoyance Grand Est Europe, SA",128677
Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative,154228
Caisse Fédérale du Crédit Mutuel Nord Europe,1058662
Arkéa Banque Entreprises et Institutionnels,0
"Banque CIC Ouest, SA",45309
Crédit Mutuel Home Loan SFH Société Anonyme,0
Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée,69462
Caisse de Refinancement de L'Habitat,294
Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes,73266
Crédit Coopératif S.A.,736913
"Caisse Régionale de Crédit Agricole Mutuel de l'Anjou et du Maine, société coope",54288
Banque Populaire Aquitaine Centre Atlantique SA,82586
Banque CIC Sud Ouest Société anonyme,32401
Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérativ,73150
Banque Populaire Bourgogne Franche-Comté,80965
Caisse Fédérale du Crédit Mutuel Océan,38165
Banque Populaire Mediterranee,111725
Caisse Régionale de Crédit Agricole Mutuel Nord Midi-Pyrénées,72672
Caisse d’Épargne et de Prévoyance Loire-Centre,49247
Banque Palatine S.A.,911100
AXA Banque SA,2198244
La Banque Postale Home Loan SFH,810
Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine Société coopérative,54469
Caisse Régionale de Crédit Agricole Mutuel de La Touraine et du Poitou Société C,58019
Caisse d'Epargne et de Prévoyance LOIRE DROME ARDECHE Société Anonyme coopérativ,66325
Caisse Regionale de Credit Agricole Mutuel Toulouse 31,55302
Caisse régionale de Crédit Agricole Mutuel Loire Haute-Loire - Société coopérati,42083
BANQUE POPULAIRE DU NORD Société Anonyme,53013
Crédit Immobilier de France Développement Société anonyme,1445345
"Caisse Régionale de Crédit Agricole Mutuel de Charente-Périgord, société coopéra",67239
Caisse Régionale de Crédit Agricole du Morbihan,47817
"Arkéa Direct Bank, Société Anonyme",461963
Caisse Centrale du Crédit Immobilier de France,1264748
Caisse Regionale de Credit Agricole Mutuel de la Reunion,71491
Promontoria MMB S.A.S.,362192
Banque Rhône-Alpes,18282
Banque Courtois SA,20267
Banque BCP S.A.S.,15050
"Carrefour Banque, S.A",1909
CIF Euromortgage Société anonyme,180596
Banque Laydernier SA,15231
Sofax Banque,4786
Banque Kolb Société Anonyme,7179
Bforbank SA,115071
Banque du Bâtiment et des Travaux Publics Société anonyme,136249
Société Centrale pour le Financement de l'Immobilier,0
BLOM BANK France S.A.,810318
Banque de Savoie SA,17893
Monte Paschi Banque SA,209310
Banque Delubac & Cie SCS,99820
RBC Investor Services Bank France S.A.,527020
Banque SBA S.A.,246376
EBI SA,205528
Bank Audi France SA,81785
Société de Banque et d'Expansion Société anonyme,25396
Al Khaliji France S.A.,39086
"Monabanq, société anonyme",34
Génébanque,0
Banque BIA S.A.,16759
"Banque Chaabi du Maroc, SA",50740
KEB Hana Bank Paris Branch,7100
