银行名称,外部资产
Sparkassen-Finanzgruppe GmbH & Co. KG,193190000
Genossenschaftliche FinanzGruppe Volksbanken Raiffeisenbanken,120961000
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",68354000
Commerzbank AG,75603000
UniCredit Bank AG,47531000
Landesbank Baden-Württemberg,13650000
Bayerische Landesbank,9342000
J.P. Morgan SE,81131159
Landesbank Hessen-Thüringen Girozentrale,26429000
ING Holding Deutschland GmbH,24216000
Norddeutsche Landesbank Girozentrale,6031000
Deutsche Kreditbank AG,8775200
DZ HYP AG,30
Bausparkasse Schwäbisch Hall AG,542499
Volkswagen Bank Gesellschaft mit beschränkter Haftung,7056000
HASPA Finanzholding,9803710
Deutsche Pfandbriefbank AG,5376000
Hamburger Sparkasse AG,9442619
Santander Consumer Bank AG,5348908
Landesbank Berlin AG,8455596
MÜNchener Hypothekenbank Eg,151910
State Street Bank International GmbH,3188603
Berlin Hyp AG,1894486
HSBC Trinkaus & Burkhardt AG,10454400
Mercedes-Benz Bank AG,1064738
Oldenburgische Landesbank AG,1654607
LBS Landesbausparkasse Südwest,220
Deutsche Hypothekenbank (Actien-Gesellschaft),97506
Sparkasse Hannover,2285316
Mittelbrandenburgische Sparkasse in Potsdam,2150685
IKB Deutsche Industriebank AG,2312700
Sparkasse Pforzheim Calw,1400164
LBS Bayerische Landesbausparkasse,308666
Landesbank Saar,1414590
LBS Westdeutsche Landesbausparkasse,281
BBBank eG,73063
Frankfurter Volksbank eG,833424
"Bank of America, National Association Frankfurt Branch",11199021
Sparkasse Dortmund,1278581
Kreissparkasse Esslingen-Nürtingen,1120151
Kreissparkasse Böblingen,549220
Sparkasse Essen,810061
Sumitomo Mitsui Banking Corporation Dusseldorf Branch,2432942
Debeka Bausparkasse AG,133290
Evangelische Bank eG,539009
FÖRde Sparkasse,910470
GLS Gemeinschaftsbank e.G.,6
Siemens Bank GmbH,172882
VTB Bank (Europe) SE,1982772
Sparkasse Saarbrücken,712957
Standard Chartered Bank AG,5822313
LBS Norddeutsche Landesbausparkasse Berlin - Hannover,212953
ProCredit Holding AG & Co. KGaA,1405349
VerbundVolksbank OWL eG,730826
Sparkasse Vest Recklinghausen,652298
Sparkasse Ulm,589769
Degussa Bank AG,1041713
SMBC Bank EU AG,3017388
LBS Ostdeutsche Landesbausparkasse AG,3
Deutsche Bausparkasse Badenia AG,61664
Bank FÜR Kirche Und Caritas Eg,48520
NATIONAL-BANK Aktiengesellschaft,988920
Sparkasse Rhein Neckar Nord,397793
Sparkasse Hanau,253670
BANK IM BISTUM ESSEN eG,209361
Kreissparkasse Steinfurt,165722
Sparkasse Trier,559357
Sparkasse Ansbach,427188
UmweltBank AG,98665
Sparkasse Niederbayern-Mitte,435094
norisbank GmbH,0
Sparda-Bank Nürnberg eG,176782
Sparkasse Landshut,418792
Sparkasse Spree-Neiße,271745
Volksbank Alzey-Worms eG,247358
Sparkasse Kraichgau-Bruchsal-Bretten-Sinsheim,243661
Sparkasse Fürstenfeldbruck,247810
Kreissparkasse Saarlouis,389876
N26 Bank GmbH,950456
Sparkasse Mittelfranken-Süd,326745
Kreissparkasse Tuttlingen,277135
Sparkasse Fulda,242211
Volksbank RheinAhrEifel eG,237676
Sparkasse Dachau,370930
Sparkasse Westholstein,441829
Sparkasse SchwÄBisch Hall-Crailsheim,286508
Sparkasse Hochfranken,213962
Sparkasse Emsland,307316
Kreissparkasse Heinsberg,361790
Volksbank LÜNeburger Heide Eg,129619
EDEKABANK AG,697547
Akbank AG,311927
Sparkasse Zollernalb,237879
VR-Bank Rottal-Inn eG,194030
Sparkasse Mittelsachsen,480290
Sparkasse Hegau-Bodensee,116676
Sparkasse Worms-Alzey-Ried,504103
Vr Bank Main-Kinzig-BÜDingen Eg,209288
Volksbank Kurpfalz eG,202660
Kreissparkasse WiedenbrÜCk Zweckverbandssparkasse Des Kreises GÜTersloh Und Der,197217
Sparkasse Oberland,190966
Sparkasse Tauberfranken,457433
VR-Bank Rhein-Sieg eG,183714
Sparkasse UnnaKamen,254621
Raiffeisen-Volksbank Aschaffenburg eG,42850
Volksbank im Bergischen Land eG,16734
Portigon AG,747704
Sparkasse Mainz,392174
Volksbank AllgÄU-Oberschwaben Eg,16983
Harzsparkasse,341320
Sparkasse Bayreuth,414143
Sparkasse Neumarkt I.D. Opf. - Parsberg,325654
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,38827
Sparkasse Kulmbach-Kronach,278539
Sparkasse Markgräflerland,145062
Sparkasse SoestWerl,287212
Volksbank Main-Tauber eG,164750
Sparkasse Wetzlar,181485
Volksbank eG,27850
NATIXIS Pfandbriefbank AG,2578
Sparkasse Gera-Greiz,286925
MLP Banking AG,795785
Sparkasse Aurich-Norden,464629
Sparkasse Gießen,168839
Vr Bank Heilbronn Schwäbisch Hall eG,143389
Kreissparkasse Schwalm-Eder,159887
Vr Bank SÜDpfalz Eg,180238
Bausparkasse Mainz AG,59707
VR-Bank Handels- und Gewerbebank eG,46564
Sparkasse Jena-Saale-Holzland,400241
Sparkasse Rhein-Maas,203488
PSD Bank RheinNeckarSaar eG,98094
Sparkasse Neuwied,245469
Kreissparkasse Heidenheim,162484
V-BANK AG,1498620
Volksbank Beckum-Lippstadt eG,28273
Zweckverbandssparkasse Rhön-Rennsteig,264192
Volksbank Backnang eG,126886
Kreissparkasse Grafschaft Bentheim zu Nordhorn,172600
Grafschafter Volksbank eG,32931
VR-Bank Mittelfranken West eG,116910
Sparkasse Neu-Ulm - Illertissen,185363
Sparkasse Baden-Baden Gaggenau,170066
Sparkasse Elbe-Elster,165225
Kreissparkasse Anhalt-Bitterfeld,185962
Sparkasse Dillingen-Nördlingen,358425
Volksbank Heilbronn eG,124917
Sparkasse Lippstadt,201494
Psd Bank MÜNchen Eg,913
Sparkasse Niederlausitz,165476
Sparkasse Nienburg,143931
Kreissparkasse Bautzen,240817
Sparkasse Stade-Altes Land,170429
Vr Bank Ostholstein Nord - PlÖN Eg,114250
Volksbank Rhein-Ruhr eG,104701
VR-Bank Ostbayern-Mitte eG,34280
Volksbank Raiffeisenbank FÜRstenfeldbruck Eg,111781
Sparkasse Werra-Meißner,93971
Weberbank Actiengesellschaft,277889
Volksbank Sauerland eG,133163
M.M.Warburg & CO Hypothekenbank AG,32342
Raiffeisen-Volksbank DonauwÖRth Eg,59382
Volksbank Am WÜRttemberg Eg,84703
Isbank AG,236011
Volksbank Düsseldorf Neuss eG,172095
VR GenoBank DonauWald eG,45395
Zweckverbandssparkasse Höxter,124473
Sparkasse Oberpfalz Nord,158780
VR Smart Finanz Bank GmbH,89147
Sparkasse Wittenberg,120935
Vr Bank WestkÜSte Eg,69627
Kreissparkasse Limburg,226583
Sparkasse Regen-Viechtach,100158
ALTE LEIPZIGER Bauspar AG,73955
Sparkasse Odenwaldkreis,96522
Volksbank eG Gera · Jena · Rudolstadt,18010
Stadtsparkasse Rheine,149831
Volksbank Leonberg-StrohgÄU Eg,92193
Ziraat Bank International AG,148053
Volksbank Hameln-Stadthagen eG,112249
Vr Bank SÜDliche WeinstraßE-Wasgau Eg,13538
Sparkasse Mitten im Sauerland,182915
Sparkasse Neubrandenburg-Demmin,165231
Psd Bank Hessen-ThÜRingen Eg,250
Volksbank Bochum Witten eG,90329
Volksbank DreilÄNdereck Eg,18047
Raiffeisenbank Kreis Kelheim eG,12396
Märkische Bank eG,93318
Kreissparkasse Nordhausen,163035
Vereinigte Sparkassen Eschenbach i.d.OPf. Neustadt a.d.Waldnaab Vohenstrauß,153260
Sparkasse Unstrut-Hainich,152826
Kreissparkasse Saalfeld-Rudolstadt,196982
Sparkasse Ostprignitz-Ruppin,178749
VR Bank zwischen den Meeren eG,51101
Sparkasse Hochsauerland,166043
Kreissparkasse St. Wendel,204227
Sparkasse Arnsberg-Sundern,132195
Sparkasse DonauwÖRth,138173
VR Bank Neuburg-Rain eG,8370
VR PartnerBank eG Chattengau-Schwalm-Eder,72775
VR Bank eG,17056
Volksbank eG Bremerhaven-Cuxland,27355
"Sparkasse Märkisches Sauerland, Hemer – Menden",108479
State Bank of India (Indische Staatsbank) Zweigniederlassung Frankfurt am Main,62641
Stadtsparkasse Bocholt,98869
LBS Landesbausparkasse Saar,0
Sparkasse Hochschwarzwald,69817
OYAK ANKER Bank GmbH,82082
Volksbank Niedersachsen-Mitte eG,8729
Kreissparkasse Weilburg,97695
Raiffeisen-Volksbank Ries eG,68419
Stadtsparkasse Kaiserslautern,143045
Raiffeisenbank Wittelsbacher Land eG,67649
Raiffeisenbank im Allgäuer Land eG,48898
Raiffeisenbank Hohenloher Land eG,67570
PSD Bank Hannover eG,45436
Raiffeisenbank Roth-Schwabach eG,117396
Volksbank Raiffeisenbank Bad Kissingen eG,10998
Volksbank Marl-Recklinghausen eG,11595
Volksbank Franken eG,81466
SIGNAL IDUNA Bauspar Aktiengesellschaft,20599
Sparkasse Attendorn-Lennestadt-Kirchhundem,115027
VR-Bank Ismaning Hallbergmoos Neufahrn eG,16081
VerbundSparkasse Emsdetten·Ochtrup,77290
Kreissparkasse Saale-Orla,119512
Waldecker Bank eG,69112
Volksbank LÜBeck Eg,11308
VR-Bank Taufkirchen-Dorfen eG,25935
Volksbank eG Mosbach,66603
Volksbank Filder eG,49142
PSD Bank Westfalen-Lippe eG,773
Raiffeisenbank im Donautal eG,9699
Vereinigte Sparkassen Gunzenhausen,80779
"Fürstlich Castell'sche Bank, Credit-Casse AG",181795
Volksbank - Raiffeisenbank Vilshofen eG,8920
Volksbank Emmerich-Rees eG,8810
Raiffeisenbank eG Deggendorf-Plattling-Sonnenwald,15469
Volksbank Viersen eG,9085
Vr Bank WestthÜRingen Eg,24313
Raiffeisenbank Straubing eG,64280
Volksbank-Raiffeisenbank Amberg eG,26414
Sparkasse Wittgenstein,56441
Sparkasse Prignitz,160058
Pommersche Volksbank eG,23355
Volksbank Staufen eG,38644
Volksbank Ettlingen eG,5689
Sparkasse Freyung-Grafenau,104641
Sparkasse Schwelm-Sprockhövel - Zweckverbandssparkasse der Städte Schwelm und Sp,76737
Vereinigte Volksbank eG Bramgau Osnabrück Wittlage,8878
Bordesholmer Sparkasse AG,77891
Sparkasse der Stadt Wilhelmshaven,84800
VR Bank Kitzingen eG,5954
Raiffeisen - meine Bank eG,28342
Volksbank MÖCkmÜHl Eg,12411
Vr-Bank SÜDwestpfalz Eg Pirmasens - ZweibrÜCken,10429
Stadt- und Kreissparkasse Moosburg a. d. Isar,74144
Sparkasse Ennepetal-Breckerfeld,37917
Keb Hana Bank (D) Aktiengesellschaft,246140
Volksbank Kleverland eG,46193
Zweckverbandssparkasse Duderstadt,62567
VR-Bank Alb-Blau-Donau eG,8380
Stadt-Sparkasse Haan (Rheinl.),53035
Volksbank Glan-Münchweiler Eingetragene Genossenschaft,9760
KT Bank AG,50888
Verbandssparkasse Goch-Kevelaer-Weeze,64192
PSD Bank Kiel eG,1198
PSD Bank Koblenz eG,1381
Stadtsparkasse Wedel,20056
Dithmarscher Volks- und Raiffeisenbank eG,8207
VR Bank Lausitz eG,14291
Erfurter Bank eG,8290
Volksbank Baumberge eG,15457
Volksbank Halle/Westf. eG,5434
Raiffeisenbank im Nürnberger Land eG,24895
Sparkasse Einbeck,44027
Raiffeisenbank Hersbruck eG,43360
Raiffeisenbank Mainschleife - Steigerwald eG,19618
DZB BANK GmbH,49899
AllgÄUer Volksbank Eg Kempten - Sonthofen,9552
Shinhan Bank Europe GmbH,90953
Volksbank Geest eG,35435
start:bausparkasse AG,71142
Volksbank Sulmtal eG,20410
Raiffeisenbank Oberpfalz NordWest eG,6338
Raiffeisenbank Riedenburg-Lobsing eG,8117
Volksbank Beilstein-Ilsfeld-Abstatt eG,22146
Stadtsparkasse SprockhÖVel,26245
Stadtsparkasse Rahden,26986
VR Bank Weimar eG,5835
Raiffeisenbank Ortenburg - Kirchberg v. W. eG,5583
VR Bank eG Heuberg-Winterlingen,9338
Stadtsparkasse Lengerich (Westfalen),35934
Raiffeisenbank Sulzbach-Rosenberg eG,6038
Raiffeisenbank Rupertiwinkel eG,7282
Raiffeisenbank Flachsmeer eG,31445
EckernfÖRder Bank Eg Volksbank-Raiffeisenbank,5218
Raiffeisenbank HÖChberg Eg,36155
Calenberger Kreditverein Calenberg-Göttingen- Grubenhagen- Hildesheim'scher Ritt,2738
Volksbank-Raiffeisenbank Glauchau eG,28873
Raiffeisenbank Ried eG,4681
Raiffeisenbank Haag-Gars-Maitenbeth eG,13519
Raiffeisenbank Holzkirchen-Otterfing eG,2289
Stadtsparkasse Haltern am See,23744
Raiffeisenbank WestallgÄU Eg,25295
Raiffeisenbank Schrozberg-Rot am See eG,2246
Raiffeisenbank Aresing-Gerolsbach eG,2470
Raiffeisenbank Biebergrund-Petersberg eG,5415
Volksbank Mittleres Erzgebirge eG,5427
Raiffeisenbank Aschberg eG,4182
Raiffeisenbank GeiselhÖRing-Pfaffenberg Eg,21091
Ritterschaftliches Kreditinstitut Stade,19138
Raiffeisen-Volksbank Wemding eG,2092
Volksbank Deisslingen eG,9564
Raiffeisenbank Pfaffenhofen a.d. Glonn eG,2083
Misr Bank-Europe GmbH,27639
Spar- und Kreditbank Rheinstetten eG,5447
Raiffeisenbank Rattiszell-Konzell eG,2510
Raiffeisenbank Hochfranken West eG,4300
Raiffeisenbank FrÄNkische Schweiz Eg,6063
Raiffeisenbank Ehekirchen-Oberhausen eG,4533
Raiffeisenbank Eifeltor eG,2824
Raiffeisenbank Stauden eG,16980
Spar- Und Darlehnskasse Bockum-HÖVel E.G.,6001
Volksbank Ammerbuch eG,16670
Volksbank Daaden eG,5381
Raiffeisenbank Beilngries eG,1472
Raiffeisenbank Aschau-Samerberg eG,3032
Brühler Bank eG,3408
BSQ Bauspar AG,14959
Raiffeisenbank Westhausen eG,1798
Raiffeisenbank Aichhalden-Hardt-Sulgen eG,2214
Volksbank Ostlippe eG,2361
Raiffeisenbank Oberes Gäu Eingetragene Genossenschaft,3069
Volksbank Börßum-Hornburg eG,6347
Raiffeisenbank Denzlingen-Sexau eG,9674
Raiffeisenbank Elsavatal eG,3295
Raiffeisenbank Donau-Heuberg eG,1354
Volksbank Neuenkirchen-Vörden eG,3241
Raiffeisenbank Mehring-Leiwen eG,2034
Raiffeisenbank am Dreisessel eG,1751
VR-Bank Spangenberg-Morschen eG,1977
Volksbank Rot eG,8549
Hagnauer Volksbank eG,1005
Raiffeisen-Volksbank Neustadt eG,3171
Raiffeisenbank Sinzing eG,5538
