银行名称,外部资产
Intesa Sanpaolo S.p.A.,76135000
UniCredit S.p.A.,161649000
Banco BPM S.p.A.,21085180
Banca Monte dei Paschi di Siena S.p.A.,6536691
Unione di Banche Italiane S.p.A.,7171761
BPER Banca SpA,6816321
Cassa Centrale Banca - Credito Cooperativo Italiano S.p.A.,7336000
Mediobanca Banca di Credito Finanziario S.p.A.,12960024
Crédit Agricole Italia S.p.A.,6860288
Banca Mediolanum S.p.A.,3124368
Credito Emiliano S.p.A.,3370793
Banca Popolare di Sondrio S.p.A,8433554
FinecoBank Banca Fineco S.p.A.,3447473
FCA Bank S.p.A.,4225608
Credito Valtellinese S.p.A.,1947539
Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia,1647917
Banca Sella Holding S.p.A.,1427715
Banco di Desio e della Brianza S.p.A.,1115417
Banca Sella S.p.A.,1025742
Banca di Credito Cooperativo di Roma Società Cooperativa,794485
Banca Popolare dell'alto Adige S.p.A.,843185
Crédit Agricole FriulAdria S.p.A.,762037
Cassa di Ravenna S.p.A.,1522490
Istituto Bancario del Lavoro S.p.A.,442844
Cassa Centrale Raiffeisen Dell'alto Adige Spa - Raiffeisen Landesbank Sudtirol A,432644
Emil Banca Credito Cooperativo Societa Cooperativa,352096
Banca Popolare Pugliese S.C.p.A.,1164525
Banca di Cividale S.C.p.A.,1064481
Banca Agricola Popolare di Ragusa S.C.p.A.,920643
Wise Dialog Bank SpA,133233
illimity Bank S.p.A.,1536730
Banca Cambiano 1884 S.p.A.,215183
"Cassa di Trento, Lavis, Mezzocorona e Valle di Cembra - Banca di Credito Coopera",249121
Banca Passadore & C. S.p.A.,272859
Banca del Mezzogiorno - MedioCredito Centrale S.p.A.,779813
Banca Sistema S.p.A.,209416
IWBank S.p.A.,116702
Banca di Credito Cooperativo di Carate Brianza Società Cooperativa,256457
Cassa Rurale ed Artigiana di Cantù Banca di Credito Cooperativo Società Cooperat,282144
Banca Popolare del Lazio S.C.p.A.,562543
Cassa di Risparmio di Cento S.p.A.,185800
Banca del Fucino S.p.A,173102
Banca Popolare Etica S.c.p.a.,136802
Banca Progetto SpA,89438
Banca del Piemonte S.p.A.,199105
Cassa di Risparmio di Fossano S.p.A.,156009
Banca Centropadana Credito Cooperativo S.C.,112805
Cassa Rurale Credito Cooperativo Adamello Giudicarie Valsabbia Paganella Società,151833
Banca di Verona e Vicenza - Credito Cooperativo - Società cooperativa,140460
"Banca di Credito Cooperativo di Venezia, Padova e Rovigo - Banca Annia Società C",106598
RomagnaBanca Credito Cooperativo s.c.,168041
Credito Fondiario S.p.A.,502772
Mediocredito Trentino - Alto Adige S.p.A.,183888
Banco di Credito P. Azzoaglio S.p.A.,146518
Bibanca S.p.A.,297159
Banca Alta Toscana Credito Cooperativo Società Cooperativa,88196
Cassa Di Risparmio Di Orvieto S.p.A.,67274
Banca del Piceno Credito Cooperativo Societa Cooperativa,76987
Banca Versilia Lunigiana e Garfagnana Credito Cooperativo - Società Cooperativa,105787
Banca di Credito Cooperativo di Busto Garolfo e Buguggiate - Società cooperativa,103900
SANFELICE 1893 Banca Popolare Società Cooperativa per azioni,162929
Banca Reale S.p.A.,115611
Banca Popolare di Fondi Società Cooperativa,69547
Banca Popolare di Lajatico Società Cooperativa per Azioni,77633
"Banca Popolare Sant'Angelo, Societa' Cooperativa Per Azioni",269307
Banca di Credito Cooperativo di Fano Societa' Cooperativa,100699
Credito Cooperativo Mediocrati Società Cooperativa,64424
Banca di Credito Cooperativo di Casalgrasso e Sant'Albano Stura Società Cooperat,79439
Banca Mediocredito del Friuli Venezia Giulia S.p.A.,95826
Cassa Rurale Vallagarina Banca di Credito Cooperativo - Società Cooperativa,134617
