银行名称,外部资产
HSBC Holdings plc,248913217
Barclays Bank PLC,174007270
Lloyds Banking Group plc,81764509
HSBC Bank plc,94973936
Lloyds Bank plc,55681612
Standard Chartered PLC,54537060
NatWest Holdings Limited,106241292
National Westminster Bank Plc,70297365
Bank of Scotland plc,3170932
HSBC UK Bank Plc,85304881
Santander UK Group Holdings plc,48593055
Barclays Bank UK PLC,39307950
Nationwide Building Society,15602680
The Royal Bank of Scotland plc,30054096
Lloyds Bank Corporate Markets Plc,26082897
Clydesdale Bank PLC,10029123
Virgin Money UK PLC,10029123
Coventry Building Society,6394210
SMBC Bank International plc,22501115
Yorkshire Building Society,4973151
Goldman Sachs International Bank,8242035
TSB Bank plc,5643500
TSB Banking Group plc,5643746
Coutts & Co.,3348
Skipton Building Society,3613813
Bank of Ireland (UK) plc,2288071
Co-Operative Bank Holdings Ltd.,4328138
The Co-operative Bank p.l.c.,4328138
Investec Bank plc,2580096
OSB Group Plc,558
Leeds Building Society,2034932
Aldermore Group Plc,596771
Aldermore Bank PLC,596771
AIB Group (UK) p.l.c.,5068357
Ulster Bank Limited,397343
Principality Building Society,1605556
Close Brothers Group plc,1527983
Paragon Bank PLC,1802819
Sainsbury's Bank plc,580305
Shawbrook Group plc,1421059
Shawbrook Bank Limited,1421059
Santander Financial Services plc,2553710
West Bromwich Building Society,298533
Marks & Spencer Financial Services plc,11568
Bank of Georgia Group PLC,491746
Newcastle Building Society,529716
Nottingham Building Society,418438
ICICI Bank UK PLC,263889
Arbuthnot Banking Group PLC,710751
ABC International Bank Plc,53179
Cumberland Building Society,441518
Secure Trust Bank PLC,202578
British Arab Commercial Bank plc,244
National Counties Building Society,467740
FBN Bank (UK) Limited,29725
Al Rayan Bank PLC,430130
Europe Arab Bank plc,135518
Ahli United Bank (UK) PLC,409689
Bank of China (UK) Limited,537282
Progressive Building Society,286078
State Bank of India (UK) Limited,82201
Bank of London and The Middle East plc,258369
The Cambridge Building Society,310246
Zenith Bank (UK) Limited,643853
Triodos Bank UK Ltd.,419307
Monmouthshire Building Society,672
Newbury Building Society,202195
Saffron Building Society,173703
Leek United Building Society Limited,175059
Punjab National Bank (International) Limited,120238
Habib Bank Zurich plc,88632
Ghana International Bank plc,83978
Darlington Building Society,83809
Suffolk Building Society,100395
Marsden Building Society,386
The Melton Mowbray Building Society,142069
Guaranty Trust Bank (UK) Limited,92980
Tipton & Coseley Building Society,64447
Swansea Building Society,96688
Vernon Building Society,40434
Teachers Building Society,78697
Loughborough Building Society,35139
Union Bank of India (UK) Limited,5834
Bank Sepah International plc,185607
Buckinghamshire Building Society,53954
Melli Bank plc,102393
The Chorley And District Building Society,246
Bank of Ceylon (UK) Limited,2164
Earl Shilton Building Society,157
Bank Mandiri (Europe) Limited,29407
