External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Basic_Default,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,y
193190000.0,272788474.0,215507647.0,0.12292590794655463,0.5087209302325582,0,305.0,0.8866279069767442,0.8691860465116279,0.8691860465116279,0.576165668752585,0.16696171792803569,7.2918032786885245,1
120961000.0,19140353.0,79039621.0,-0.4275423949688766,0.4025157232704403,1,61.0,0.17732558139534885,0.436046511627907,0.5801040801495017,0.013683749074414883,0.013363878111815802,29.21311475409836,1
68354000.0,102546056.0,87400487.0,0.08862237587564044,0.5365853658536586,1,215.0,0.625,0.47674418604651164,0.5988171149930339,0.10318444968688578,0.07936443875685839,10.069767441860465,1
75603000.0,33051416.0,39250455.0,-0.057052803081652934,0.5075757575757576,0,90.0,0.2616279069767442,0.27325581395348836,0.5156480712440015,0.008120801303944568,0.020392516574079013,20.944444444444443,1
47531000.0,33289192.0,35770647.0,-0.030703403921633843,0.5234375,0,90.0,0.2616279069767442,0.2558139534883721,0.5095816233470133,0.007299074891500151,0.02038006692790317,20.944444444444443,1
13650000.0,67842575.0,38360196.0,0.3617799413014008,0.5681818181818182,0,158.0,0.45930232558139533,0.2761627906976744,0.5166732165148643,0.022950196517179368,0.047829541998708355,13.253164556962025,1
9342000.0,55527892.0,36989578.0,0.28577685931710817,0.5527950310559007,1,139.0,0.40406976744186046,0.2645348837209302,0.5125968992248062,0.01676630269386932,0.0390762446641969,14.719424460431656,1
81131159.0,2332286.0,40452430.0,-0.4567286193374836,0.35789473684210527,0,22.0,0.06395348837209303,0.27325581395348836,0.5156480712440015,0.0009082435712244603,0.005114437799520956,67.0909090909091,1
26429000.0,17374912.0,26339152.0,-0.20464473584003182,0.42168674698795183,1,55.0,0.15988372093023256,0.1947674418604651,0.48942867779091664,0.0021709528073556245,0.012024540349403976,31.89090909090909,1
24216000.0,9668183.0,11004220.0,-0.03942951789629988,0.4583333333333333,0,36.0,0.10465116279069767,0.10465116279069767,0.46243172225440704,0.000287900557964979,0.007214812554333343,43.72222222222222,0
6031000.0,14457649.0,14598353.0,-0.006867412292533295,0.4918032786885246,1,49.0,0.14244186046511628,0.11627906976744186,0.46574664499458196,0.0006967238577469883,0.010761423369773124,35.12244897959184,1
8775200.0,16953145.0,13059387.0,0.15134117643400694,0.5,1,52.0,0.1511627906976744,0.11337209302325581,0.46491346673877765,0.000747934314747668,0.011200803215988325,33.26923076923077,1
30.0,4539968.0,14952607.0,-2.2935338297505856,0.391304347826087,1,27.0,0.07848837209302326,0.11918604651162791,0.46658281491378234,0.00019300027025500932,0.00594637869623412,56.592592592592595,1
542499.0,8563411.0,3665261.0,0.5379088965298361,0.5121951219512195,0,35.0,0.10174418604651163,0.07267441860465117,0.4535543244449856,0.00010718171391078428,0.007036890228306129,44.91428571428571,1
7056000.0,292344.0,4622382.0,-0.5892535787655014,0.3448275862068966,1,9.0,0.026162790697674417,0.08430232558139535,0.4567427555482895,0.0,0.002911315122378727,126.11111111111111,1
9803710.0,2489769.0,5150611.0,-0.21644336806529707,0.41935483870967744,0,22.0,0.06395348837209303,0.08430232558139535,0.4567427555482895,1.3343911366160133e-05,0.0050137158698062775,67.0909090909091,1
5376000.0,1736484.0,4667773.0,-0.41213294820768664,0.36666666666666664,1,19.0,0.055232558139534885,0.08139534883720931,0.4559414524683802,2.08762907156218e-06,0.00443417063706156,73.6842105263158,1
