Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.4299686849117279,0.4184079170227051,0.0
1,0.49056631326675415,0.48117926716804504,0.03475688770413399
2,0.21917065978050232,0.18603074550628662,0.07648775726556778
3,0.5084956884384155,0.5003122091293335,0.0
4,0.4918403625488281,0.48309260606765747,0.0
5,0.4305145740509033,0.4193589389324188,0.0
6,0.5045371055603027,0.49948346614837646,0.0
7,0.5759026408195496,0.5739083290100098,0.0
8,0.6143296957015991,0.6134776473045349,0.0
9,0.4755789339542389,0.47383472323417664,0.0
10,0.6081030964851379,0.6070937514305115,0.0
11,0.6025505661964417,0.6018801331520081,0.0
12,0.6448365449905396,0.6369257569313049,0.03158697485923767
13,0.47004351019859314,0.46860015392303467,0.0
14,0.4304005205631256,0.42681923508644104,0.03220906853675842
15,0.3900104761123657,0.38972190022468567,0.0
16,0.5648871660232544,0.5621535181999207,0.0
17,0.5966439247131348,0.5966334342956543,0.0
18,0.41309380531311035,0.41215118765830994,0.0
19,0.5878704190254211,0.584962010383606,0.0026786886155605316
20,0.6106868982315063,0.6105998158454895,0.0
21,0.2639089822769165,0.2638452649116516,0.0
22,0.3063463568687439,0.30633649230003357,0.0
23,0.3966148793697357,0.3960876166820526,0.0
24,0.5490430593490601,0.548541247844696,0.0
25,0.6130566000938416,0.6009218096733093,0.03138546645641327
26,0.6009279489517212,0.6002694368362427,0.0
27,0.36524608731269836,0.3652438223361969,0.0
28,0.3199603259563446,0.3066362142562866,0.06591252237558365
29,0.5409356951713562,0.5408599972724915,0.0
30,0.5494049191474915,0.5491623878479004,0.0
31,0.31695646047592163,0.316556841135025,0.0
32,0.4035657048225403,0.38132330775260925,0.03284613788127899
33,0.29225611686706543,0.2917633056640625,0.0
34,0.30025792121887207,0.29986628890037537,0.0
35,0.3650857210159302,0.36389824748039246,0.0
36,0.2732268273830414,0.25189638137817383,0.03273525834083557
37,0.28884658217430115,0.28871434926986694,0.0
38,0.2765536904335022,0.24658605456352234,0.032608188688755035
39,0.2846119701862335,0.284530907869339,0.0
40,0.33095768094062805,0.3295325040817261,0.0
41,0.26251426339149475,0.2624194920063019,0.0
42,0.5889634490013123,0.5889132618904114,0.0
43,0.3181496262550354,0.28433772921562195,0.03253285959362984
44,0.5692774057388306,0.5692642331123352,0.0
45,0.2725306749343872,0.2724058926105499,0.0
46,0.304231196641922,0.26052647829055786,0.03165791556239128
47,0.28324976563453674,0.283235639333725,0.0
48,0.24531137943267822,0.2452259212732315,0.0
49,0.6121243834495544,0.6121178269386292,0.0
50,0.31389644742012024,0.3138955235481262,0.0
51,0.2661254405975342,0.26607048511505127,0.0
52,0.2600908577442169,0.19096046686172485,0.03140084818005562
53,0.2672201693058014,0.26720795035362244,0.0
54,0.31908097863197327,0.31906938552856445,0.0
55,0.2563401162624359,0.2563302218914032,0.0
56,0.23507314920425415,0.23506158590316772,0.0
57,0.23784349858760834,0.23779448866844177,0.0
58,0.3072841763496399,0.30728206038475037,0.0
59,0.27403220534324646,0.2740180194377899,0.0
