Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.4233834743499756
1,0.0,0.488347589969635
2,0.0,0.20265361666679382
3,0.0,0.5075368881225586
4,0.0,0.4897717833518982
5,0.0,0.4241676330566406
6,0.0,0.504040002822876
7,0.0,0.5758174657821655
8,0.0,0.6142924427986145
9,0.0,0.4755074083805084
10,0.0,0.6080575585365295
11,0.0,0.602522075176239
12,0.0,0.6448272466659546
13,0.0,0.46998658776283264
14,0.0,0.43038463592529297
15,0.0,0.38999873399734497
16,0.0,0.5647944808006287
17,0.0,0.5966415405273438
18,0.0,0.4130520224571228
19,0.0,0.5878578424453735
20,0.0,0.6106795072555542
21,0.005999966990202665,0.262167364358902
22,0.0,0.30634453892707825
23,0.0,0.39659297466278076
24,0.0,0.549022376537323
25,0.0,0.6130520105361938
26,0.0,0.6008999943733215
27,0.0,0.3652455508708954
28,0.0,0.3199467062950134
29,0.0,0.540929913520813
30,0.0,0.5493943691253662
31,0.0,0.31694090366363525
32,0.0,0.40350213646888733
33,0.0,0.2922443747520447
34,0.0,0.3002479672431946
35,0.0,0.3650372624397278
36,0.0,0.2732190191745758
37,0.0,0.28883928060531616
38,0.007004876621067524,0.2707775831222534
39,0.0,0.2846079468727112
40,0.0,0.3309227526187897
41,0.0,0.2625100612640381
42,0.0,0.588959276676178
43,0.0,0.31811973452568054
44,0.0,0.5692746043205261
45,0.0059999339282512665,0.2664823532104492
46,0.0,0.30422836542129517
47,0.008008910343050957,0.2636592388153076
48,0.005999925546348095,0.2384326159954071
49,0.0,0.6121227145195007
50,0.005998941604048014,0.3116637170314789
51,0.0,0.26612240076065063
52,0.0,0.26008638739585876
53,0.0,0.2672179937362671
54,0.005999837536364794,0.3118627369403839
55,0.0,0.2563384175300598
56,0.005999817978590727,0.2293529212474823
57,0.0,0.23784060776233673
58,0.029993167147040367,0.2899671196937561
59,0.007003956940025091,0.26178744435310364
60,0.005999901331961155,0.24418210983276367
61,0.0,0.5300079584121704
62,0.005999901797622442,0.2526984214782715
63,0.005999820306897163,0.2625831961631775
64,0.0,0.27927058935165405
65,0.007005083374679089,0.2983663082122803
66,0.018997710198163986,0.32067161798477173
67,0.005999513901770115,0.3131539821624756
68,0.01799722947180271,0.2759796679019928
69,0.011998716741800308,0.27318114042282104
70,0.020003240555524826,0.26248547434806824
71,0.0369902029633522,0.28523656725883484
72,0.024999340996146202,0.2782735228538513
