Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.16158874332904816,0.011357307434082031,0.0
1,0.05417187139391899,2.9365821774263168e-06,0.06801494210958481
2,1.3693801292902208e-06,1.1849997284834766e-15,0.03113962896168232
3,0.057576339691877365,3.6817336876993068e-06,0.0
4,0.21765413880348206,9.638378833187744e-05,0.0
5,0.018115999177098274,7.447319205766689e-08,0.0
6,0.2140859067440033,9.451911319047213e-05,0.0
7,0.2140859067440033,9.451911319047213e-05,0.0
8,0.06673328578472137,2.5208712486346485e-06,0.0
9,0.21805323660373688,0.00010533952445257455,0.0
10,0.3123731017112732,0.001589822000823915,0.0
11,0.31363511085510254,0.0008575491956435144,0.0
12,0.015837229788303375,0.0024068683851510286,0.03531862422823906
13,0.0927756279706955,0.009086063131690025,0.0
14,0.14496129751205444,0.009341228753328323,0.0
15,0.403274804353714,0.04696134477853775,0.020089363679289818
16,0.0696953758597374,0.010351568460464478,0.0
17,0.3832736909389496,0.06766562163829803,0.0
18,0.2666228413581848,0.0020544237922877073,0.0
19,0.5377844572067261,0.029988199472427368,0.035848796367645264
20,0.060228265821933746,0.001207528985105455,0.03540992736816406
21,0.7001916170120239,0.4914904236793518,0.0
22,0.7224789261817932,0.6292590498924255,0.0
23,0.48122638463974,0.2195478230714798,0.0
24,0.023126093670725822,0.005307560786604881,0.0
25,0.7717183828353882,0.038751270622015,0.035368505865335464
26,9.448819764656946e-05,6.310739536274923e-06,0.034397996962070465
27,0.15942351520061493,0.02290881983935833,0.0
28,0.7752599716186523,0.10638593882322311,0.0717577114701271
29,0.3193628489971161,0.0018274488393217325,0.0
30,0.8712403774261475,0.015817908570170403,0.03542294353246689
31,4.6958299208199605e-05,4.676198659581132e-05,0.0
32,0.8747503161430359,0.8508230447769165,0.0
33,0.004929269663989544,0.0015850531635805964,0.0
34,0.8772101402282715,0.8651208281517029,0.0
35,0.6507183313369751,0.45747554302215576,0.0
36,0.895548403263092,0.873047947883606,0.0
37,0.8529510498046875,0.8026759028434753,0.0
38,0.5053926110267639,0.007628798019140959,0.03636642172932625
39,0.001308238017372787,0.0005679565365426242,0.0
40,0.6075743436813354,0.5114539265632629,0.0
41,0.8621034622192383,0.85927414894104,0.0
42,0.002728536957874894,0.0010376633144915104,0.0
