Node,Average Rescue Ratio,Average Risk Probability
0,0.006000000052154064,0.3903593122959137
1,0.006000000052154064,0.46462005376815796
2,0.0,0.16191411018371582
3,0.003000000026077032,0.49102097749710083
4,0.006000000052154064,0.46757951378822327
5,0.014999998733401299,0.3922860026359558
6,0.017999999225139618,0.49275365471839905
7,0.0,0.570400595664978
8,0.011999995447695255,0.6113387942314148
9,0.0029999990947544575,0.4707723557949066
10,0.01199999637901783,0.6050310134887695
11,0.01799999363720417,0.5987825393676758
12,0.008999996818602085,0.6422936320304871
13,0.017999988049268723,0.4654170870780945
14,0.008999930694699287,0.4288806915283203
15,0.011999824084341526,0.38714349269866943
16,0.008999999612569809,0.558188796043396
17,0.01199999451637268,0.595106840133667
18,0.02902776002883911,0.40936222672462463
19,0.011999990791082382,0.5813126564025879
20,0.026999985799193382,0.6021543741226196
21,0.002999774878844619,0.2623613178730011
22,0.008999200537800789,0.30438295006752014
23,0.014999860897660255,0.39195650815963745
24,0.014999987557530403,0.5411947965621948
25,0.011999992653727531,0.6097483038902283
26,0.013008956797420979,0.5947527289390564
27,0.017995625734329224,0.34511661529541016
28,0.020999548956751823,0.3066766858100891
29,0.014999980106949806,0.5333461761474609
30,0.0059999944642186165,0.5449120402336121
31,0.020999643951654434,0.3074866235256195
32,0.014999988488852978,0.39502233266830444
33,0.014999555423855782,0.2814791202545166
34,0.010007033124566078,0.2865191102027893
35,0.01499996893107891,0.35450121760368347
36,0.022011226043105125,0.25880521535873413
37,0.008999415673315525,0.2774268090724945
38,0.020999204367399216,0.2621860206127167
39,0.023998554795980453,0.2708660662174225
40,0.023999828845262527,0.30931004881858826
41,0.005999324377626181,0.24638354778289795
42,0.007019195705652237,0.5859629511833191
43,0.026024753227829933,0.28864818811416626
44,0.017999958246946335,0.5601591467857361
45,0.008999304845929146,0.2621076703071594
46,0.013010503724217415,0.2843163311481476
47,0.026995409280061722,0.24005913734436035
48,0.017998358234763145,0.2223188877105713
49,0.01799996756017208,0.6063975095748901
50,0.008993064984679222,0.3091232180595398
51,0.005999288521707058,0.26017242670059204
52,0.025010447949171066,0.22406966984272003
53,0.02399587072432041,0.23920471966266632
54,0.008998485282063484,0.2972003221511841
55,0.011997682973742485,0.24121622741222382
56,0.008998033590614796,0.2219521701335907
57,0.02099708840250969,0.21148352324962616
58,0.008992130868136883,0.29966530203819275
59,0.01199811790138483,0.2639520764350891
60,0.023997372016310692,0.2151847630739212
61,0.011999936774373055,0.5225642323493958
62,0.011998718604445457,0.24087464809417725
63,0.00899843405932188,0.24699397385120392
64,0.014996705576777458,0.23859338462352753
65,0.02099202200770378,0.27393755316734314
66,0.014981122687458992,0.3179098665714264
67,0.008996779099106789,0.29619380831718445
68,0.014992659911513329,0.276031494140625
69,0.02399080991744995,0.254305899143219
70,0.0029980747494846582,0.29177069664001465
71,0.011991024017333984,0.3122660219669342
72,0.011994564905762672,0.3142644166946411
