Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.9494158625602722
1,0.0,0.9519327282905579
2,2.7780279331535585e-15,0.7994388341903687
3,0.0,0.9191914796829224
4,0.0,0.8830336332321167
5,0.0,0.8102887272834778
6,3.8513594091682535e-08,0.7087676525115967
7,4.3877465549790884e-10,0.4360812306404114
8,4.796504339543706e-12,0.6149550080299377
9,5.092362016512197e-07,0.08986120671033859
10,3.5763568755758923e-12,0.557277500629425
11,8.603380763361201e-08,0.24351322650909424
12,0.0,0.529518187046051
13,1.3862591963231807e-08,0.7495865225791931
14,1.0890194523938135e-08,0.7441120743751526
15,1.222700252156983e-08,0.2545802891254425
16,1.571028178659617e-07,0.12426626682281494
17,3.863186464059254e-07,0.133156880736351
18,9.656791810641607e-09,0.18529266119003296
19,5.526461954730166e-09,0.8127990961074829
20,1.5598853764231535e-08,0.8090752363204956
21,6.380088279911433e-08,0.1267593801021576
22,5.437060735857813e-06,0.14900577068328857
23,4.351100812982622e-09,0.8472989797592163
24,8.971235310184511e-09,0.6718766093254089
25,7.180903871528699e-09,0.8425475358963013
26,8.644474291941151e-06,0.1392238736152649
27,1.9099835046887392e-09,0.9024268388748169
28,1.295115907851141e-06,0.09307785332202911
29,1.942001581767272e-08,0.17166118323802948
30,2.605432598556945e-07,0.06552805006504059
31,3.277094817732973e-09,0.8530734777450562
32,2.5782365131732377e-09,0.8434420824050903
33,7.932889012352007e-09,0.030741238966584206
34,5.498560312844347e-06,0.1379639357328415
35,1.975860808300922e-09,0.914929986000061
36,2.763664141980371e-08,0.0942307710647583
37,1.5038640333031594e-09,0.777794361114502
38,1.946637295802134e-09,0.8595842123031616
39,2.4240107698858537e-09,0.8980865478515625
40,3.3772604979276366e-07,0.08748946338891983
41,1.4690662908378727e-07,0.07266787439584732
42,9.958855962111102e-10,0.9330388307571411
43,1.0963207008884979e-09,0.9230785369873047
44,1.5410559495165899e-09,0.801720142364502
45,1.3974292301099922e-07,0.05721917003393173
46,1.9110699689406374e-09,0.885468602180481
47,2.474582760925159e-09,0.9076164960861206
48,1.6591463758430791e-09,0.8626068830490112
49,4.693360144969461e-10,0.9281564950942993
50,1.0158985874753057e-09,0.9233578443527222
51,2.9261065037644585e-07,0.05318406969308853
52,1.0469521916078861e-09,0.9334248304367065
53,2.9741067386623854e-09,0.8975845575332642
54,1.3502503559692514e-09,0.911636471748352
55,8.409890561722477e-10,0.9055594205856323
56,3.8147182634951093e-10,0.8350659608840942
57,2.335801525532588e-07,0.07936126738786697
58,2.2354829809501098e-07,0.07466758787631989
59,2.448515279418473e-10,0.8957175016403198
60,3.53754886495139e-10,0.8957616090774536
61,2.675517585259968e-10,0.8826626539230347
62,8.955278474331863e-08,0.06036528944969177
63,3.3247848918449563e-10,0.9218701124191284
64,1.2513267222402646e-07,0.04071027785539627
65,5.424700475487043e-07,0.08479603379964828
66,1.2634528090416097e-08,0.043317265808582306
67,5.132611002878207e-10,0.9262009859085083
68,1.1479827088933803e-09,0.8611782789230347
69,2.166658987334813e-06,0.09170762449502945
70,5.083985454845674e-10,0.9052456617355347
71,4.5896308975557076e-10,0.889421820640564
72,3.056107034105082e-10,0.937505841255188
73,1.3626467421090638e-07,0.05376877635717392
74,9.45003790775445e-08,0.05406941846013069
75,4.183168016425043e-07,0.06661994755268097
76,5.05193099797907e-07,0.060154955834150314
77,4.803406561393331e-09,0.0366763100028038
78,1.1738059135790735e-10,0.9214702844619751
79,5.145874837353404e-10,0.9287036061286926
80,4.976590320393548e-11,0.8608299493789673
81,4.361897509852497e-08,0.04243887588381767
82,1.7950778641306897e-08,0.03181431069970131
83,9.544627588287113e-11,0.9050899744033813
84,3.984534089340741e-07,0.0785764753818512
85,4.760698432693111e-11,0.8692065477371216
86,1.2678905148000297e-10,0.915183424949646
87,1.734199450709184e-08,0.038076650351285934
88,2.723667158477383e-08,0.054469577968120575
89,1.647371683510812e-10,0.9385017156600952
90,1.0491633950504564e-10,0.8774234056472778
91,1.5311338308343636e-10,0.9347416162490845
92,1.8471416396437235e-08,0.035610683262348175
93,4.3920774572825394e-08,0.042335428297519684
94,1.418548611908932e-10,0.9261172413825989
95,5.302236871784771e-08,0.04005518555641174
96,9.024060609874596e-09,0.02922150120139122
97,3.147250168811233e-11,0.8569083213806152
98,8.359103687016756e-11,0.8673548698425293
99,1.3661714604040753e-07,0.04317845031619072
100,8.150531272121952e-08,0.038857705891132355
101,1.2417109007678562e-11,0.8777323961257935
102,2.2184286407878062e-08,0.03689861670136452
103,2.714436106998619e-07,0.05360642820596695
104,9.746353946127329e-09,0.028032302856445312
105,1.0921280590991955e-07,0.041876424103975296
106,2.450863405556447e-07,0.054794471710920334
107,1.8692799130803905e-06,0.08907057344913483
108,7.313698258126777e-12,0.840178370475769
109,2.4578048396506347e-07,0.05381948873400688
110,1.6247316381168275e-08,0.02987235225737095
111,1.7955116504708712e-08,0.027449700981378555
112,1.809681648978767e-08,0.02645711973309517
