Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.8465805053710938,0.286300927400589,0.0
1,0.9303340315818787,0.34806618094444275,0.062011390924453735
2,0.28445708751678467,0.131850004196167,0.06120044365525246
3,0.04268277436494827,0.03821295499801636,0.0
4,0.030665148049592972,0.028056148439645767,0.0
5,0.04562630131840706,0.018204817548394203,0.030157841742038727
6,0.6782374978065491,0.22665974497795105,0.0
7,0.02867889776825905,0.010497132316231728,0.03043256513774395
8,0.04171221703290939,0.03617287799715996,0.0
9,0.2596890926361084,0.13540172576904297,0.030631570145487785
10,0.012984244152903557,0.012984244152903557,0.0
11,0.9708767533302307,0.4280216693878174,0.0
12,0.01707872934639454,0.012720061466097832,0.061425819993019104
13,0.8359851837158203,0.8358594179153442,0.0
14,0.020034486427903175,0.005994172766804695,0.03137398138642311
15,0.01706373505294323,0.010691538453102112,0.06333546340465546
16,0.3041825294494629,0.1388656497001648,0.0
17,0.6241410374641418,0.20473164319992065,0.0
18,0.2637767195701599,0.12140797823667526,0.03059212677180767
19,0.9678826332092285,0.4185090959072113,0.06266576796770096
20,0.5427462458610535,0.16009651124477386,0.030721770599484444
21,0.762134850025177,0.7460840940475464,0.0
22,0.04268277436494827,0.03821295499801636,0.0
23,0.8378372192382812,0.29025131464004517,0.0
24,0.14250940084457397,0.0798029825091362,0.0
25,0.3940148949623108,0.16722337901592255,0.03051747940480709
26,0.01774679310619831,0.017754757776856422,0.0
27,0.04245241731405258,0.036927901208400726,0.0
28,0.028753669932484627,0.018801933154463768,0.0920441523194313
29,0.02062031254172325,0.013599940575659275,0.04274193197488785
30,0.25852492451667786,0.11636647582054138,0.0
31,0.2844570577144623,0.13329531252384186,0.0
32,0.027354968711733818,0.027354968711733818,0.0
33,0.032437995076179504,0.032437995076179504,0.0
34,0.036213554441928864,0.01754925400018692,0.03130275383591652
35,0.7184268236160278,0.23552322387695312,0.0
36,0.024584421887993813,0.024584421887993813,0.0
37,0.5287196040153503,0.18729481101036072,0.0
38,0.024925729259848595,0.012349399738013744,0.030075719580054283
39,0.01871464215219021,0.018024887889623642,0.0
40,0.010120298713445663,0.010120298713445663,0.0
41,0.017402997240424156,0.017402997240424156,0.0
42,0.02095453254878521,0.02095453254878521,0.0
43,0.016009800136089325,0.010794542729854584,0.03150630742311478
44,0.024318024516105652,0.024318024516105652,0.0
45,0.7872318029403687,0.7872318029403687,0.0
46,0.016009800136089325,0.010794542729854584,0.03150630742311478
47,0.021567493677139282,0.021567493677139282,0.0
48,0.04103642329573631,0.04103642329573631,0.0
49,0.15897946059703827,0.08196486532688141,0.0
50,0.021022753790020943,0.020167209208011627,0.0
51,0.01882053166627884,0.0064955768175423145,0.031555552035570145
