Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.4633437693119049
1,0.0,0.5266600847244263
2,0.03599805384874344,0.1781614124774933
3,0.04799701273441315,0.03195437043905258
4,0.017999395728111267,0.022276345640420914
5,0.02999628148972988,0.02831057831645012
6,0.004006414674222469,0.36906224489212036
7,0.005999870132654905,0.026502719148993492
8,0.029996830970048904,0.02663114108145237
9,0.056000977754592896,0.17192962765693665
10,0.0,0.012984244152903557
11,0.0,0.5810560584068298
12,0.02399996481835842,0.013677244074642658
13,0.02399970404803753,0.8201993703842163
14,0.0059999944642186165,0.01840895228087902
15,0.0,0.01706373505294323
16,0.035998594015836716,0.1880767047405243
17,0.012000000104308128,0.3366472125053406
18,0.035997383296489716,0.16509230434894562
19,0.0,0.5755032300949097
20,0.0,0.28497248888015747
21,0.041999056935310364,0.7109275460243225
22,0.010003581643104553,0.037361353635787964
23,0.0,0.46254053711891174
24,0.04400068148970604,0.09648098051548004
25,0.010002797469496727,0.24241331219673157
26,0.011999971233308315,0.015660282224416733
27,0.022004123777151108,0.03243181109428406
28,0.0179996769875288,0.024243632331490517
29,0.023999933153390884,0.018356431275606155
30,0.029998254030942917,0.16051267087459564
31,0.023998793214559555,0.17964641749858856
32,0.023999908939003944,0.02047666721045971
33,0.017999887466430664,0.027023350819945335
34,0.017999786883592606,0.029324829578399658
35,0.0,0.3884966969490051
36,0.0,0.024584423750638962
37,0.0,0.2952759861946106
38,0.005999936256557703,0.02243201807141304
39,0.011999955400824547,0.0161023810505867
40,0.0,0.010120299644768238
41,0.011999992653727531,0.014805902726948261
42,0.005999987479299307,0.019279100000858307
43,0.01199999637901783,0.014673581346869469
44,0.004004336893558502,0.0227605439722538
45,0.017999950796365738,0.7216854095458984
46,0.005999998189508915,0.015341689810156822
47,0.005999992601573467,0.019876917824149132
48,0.017999904230237007,0.035518109798431396
49,0.023998528718948364,0.09885796904563904
50,0.017999839037656784,0.016370948404073715
51,0.0,0.01882052980363369
52,0.0179999191313982,0.2219158113002777
53,0.011999949812889099,0.01738242618739605
54,0.017999988049268723,0.01417539268732071
55,0.0,0.4805839955806732
56,0.0,0.4128280580043793
57,0.017999544739723206,0.035786546766757965
58,0.0,0.6150805950164795
59,0.0,0.3409512937068939
60,0.0,0.4883471429347992
61,0.034003980457782745,0.26529815793037415
62,0.023999130353331566,0.16604892909526825
63,0.029999148100614548,0.1649009883403778
64,0.023999040946364403,0.02184663712978363
65,0.006000000052154064,0.38834044337272644
66,0.011999949812889099,0.019073057919740677
