Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.12712302803993225
1,0.0,0.21356625854969025
2,0.0,0.1581266075372696
3,0.0,0.35871583223342896
4,0.0,0.15473802387714386
5,0.0,0.4730486273765564
6,0.0,0.22701843082904816
7,0.0,0.4007888734340668
8,0.0,0.41690725088119507
9,0.0,0.059911735355854034
10,0.0,0.09003190696239471
11,0.0,0.10035417973995209
12,0.0,0.34839633107185364
13,0.0,0.09775611758232117
14,0.0,0.627778947353363
15,0.0,0.07650236040353775
16,0.0,0.07981438934803009
17,0.0,0.06408479809761047
18,0.0,0.05598010495305061
19,0.0,0.13102862238883972
20,0.0,0.06298324465751648
21,0.0,0.06035030633211136
22,0.0,0.05985822156071663
23,0.0,0.4921568036079407
24,0.0,0.3241483271121979
25,0.0,0.24394872784614563
26,0.0,0.6373143196105957
27,0.0,0.10092948377132416
28,0.009999998845160007,0.20422522723674774
29,0.0,0.0965484231710434
30,0.0,0.38239914178848267
31,0.0,0.5704909563064575
32,0.0,0.317626029253006
33,0.032999999821186066,0.38779932260513306
34,0.004999999888241291,0.39137396216392517
35,0.0,0.2145562618970871
36,0.001999999862164259,0.5410073399543762
37,0.0,0.09180023521184921
38,0.0,0.756161093711853
39,0.0,0.3971315920352936
40,0.0,0.6680170893669128
41,0.009999998845160007,0.528649628162384
42,0.0,0.21779420971870422
43,0.0,0.43503379821777344
44,0.0,0.15635380148887634
45,0.0,0.6135386824607849
46,0.0,0.6885563135147095
47,0.0,0.22619912028312683
48,0.0,0.11769934743642807
49,0.0,0.06729253381490707
50,0.001999999862164259,0.5411792397499084
51,0.0,0.5383958220481873
52,0.010999998077750206,0.24564722180366516
53,0.013999998569488525,0.3691393733024597
54,0.0,0.16879498958587646
55,0.5499997138977051,0.31404125690460205
56,0.0,0.2350706160068512
57,0.0,0.5369071960449219
58,0.018999995663762093,0.22286400198936462
59,0.0,0.11806640774011612
60,0.0,0.22486968338489532
61,0.007999999448657036,0.2707785964012146
62,0.0,0.5250138640403748
63,0.012999999336898327,0.3484916687011719
64,0.0,0.540277898311615
65,0.0,0.13036121428012848
66,0.009999998845160007,0.43736615777015686
67,0.02299998514354229,0.2400042712688446
68,0.0,0.5386828780174255
69,0.0,0.11734364181756973
70,0.0,0.3587159216403961
