Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.38675111532211304
1,0.0,0.4702633023262024
2,0.0,0.1470792591571808
3,0.0,0.49937453866004944
4,0.0,0.4729235768318176
5,0.0,0.3888614773750305
6,0.0,0.4989444613456726
7,0.0,0.5753885507583618
8,0.0,0.6141493916511536
9,0.0,0.47520869970321655
10,0.0,0.6078822612762451
11,0.0,0.6024128198623657
12,0.0,0.6447917222976685
13,0.0,0.46976804733276367
14,0.0,0.4303235411643982
15,0.0,0.38995376229286194
16,0.0,0.5643296837806702
17,0.0,0.5966330170631409
18,0.0,0.412891685962677
19,0.0,0.5878093242645264
20,0.0,0.6106508374214172
21,0.0,0.26388734579086304
22,0.0,0.3063378930091858
23,0.0,0.3965088725090027
24,0.0,0.5489425659179688
25,0.0,0.6130346655845642
26,0.0,0.6007928848266602
27,0.009999998845160007,0.3483108878135681
28,0.0,0.319894403219223
29,0.0,0.5409079790115356
30,0.0,0.5493539571762085
31,0.0,0.31688112020492554
32,0.0,0.4032580256462097
33,0.0,0.2921992838382721
34,0.0009999999310821295,0.2980234920978546
35,0.0,0.3648512363433838
36,0.0,0.2731892168521881
37,0.004999999888241291,0.27595797181129456
38,0.0009999999310821295,0.27407345175743103
39,0.001999999862164259,0.28084850311279297
40,0.0,0.3307885527610779
41,0.009999998845160007,0.2181045264005661
42,0.0,0.5889431238174438
43,0.0,0.31800511479377747
44,0.0,0.5692641139030457
45,0.009999998845160007,0.23341378569602966
46,0.010999998077750206,0.2774260938167572
47,0.01799999736249447,0.22263774275779724
48,0.009999998845160007,0.21335849165916443
49,0.0,0.6121166348457336
50,0.08799998462200165,0.30238133668899536
51,0.009999998845160007,0.24440261721611023
52,0.009999998845160007,0.220274418592453
53,0.009999998845160007,0.2365843951702118
54,0.009999998845160007,0.26898643374443054
55,0.011999999172985554,0.220088928937912
56,0.012999999336898327,0.21044841408729553
57,0.009999998845160007,0.21361692249774933
58,0.07999999821186066,0.28811115026474
59,0.01599999889731407,0.22581207752227783
60,0.009999998845160007,0.212941974401474
61,0.006999999284744263,0.5192833542823792
62,0.009999998845160007,0.21870604157447815
63,0.013999998569488525,0.21812312304973602
64,0.010999998077750206,0.22640152275562286
65,0.02199999801814556,0.2608560621738434
66,0.09899993240833282,0.3006286919116974
67,0.023999996483325958,0.2521907687187195
68,0.03699998930096626,0.24827781319618225
69,0.03599999472498894,0.23964790999889374
70,0.039999980479478836,0.24303972721099854
71,0.055999547243118286,0.2688215374946594
72,0.02699977159500122,0.26498159766197205
