Node,Average Rescue Ratio,Average Risk Probability
0,0.0,1.033712032949552e-05
1,0.0,3.644020035806911e-13
2,0.0,1.60250499293928e-30
3,0.0,5.965551945659453e-13
4,0.0,7.831032489136192e-10
5,0.0,2.24417250089409e-16
6,0.0,7.697235071546515e-10
7,0.0,7.697235071546515e-10
8,0.0,1.640918710589176e-13
9,0.0,9.781453425006248e-10
10,0.0,2.8078792979613354e-07
11,0.0,8.989469790776639e-08
12,0.0,7.798432488925755e-05
13,0.0,2.46205509029096e-05
14,0.0,7.156878382374998e-06
15,0.0,0.00021796533837914467
16,0.0,7.727290358161554e-05
17,0.0,0.0003720946260727942
18,0.0,5.446646014206635e-07
19,0.0,0.006261581089347601
20,0.0,0.00010592170292511582
21,0.0,0.1567990779876709
22,0.0,0.4626538157463074
23,0.0,0.00765072088688612
24,0.0,7.163761620176956e-05
25,0.06999999284744263,0.007255922071635723
26,0.0,7.112051207514014e-06
27,0.0,0.00013822526670992374
28,0.0,0.12439087778329849
29,0.0,3.9134374674176797e-07
30,0.03700005263090134,0.3353472054004669
31,0.0,4.6501932956743985e-05
32,0.06999998539686203,0.002272338140755892
33,0.0,5.5460386647609994e-05
34,0.06999999284744263,0.0007717725820839405
35,0.0,0.20365409553050995
36,0.007000000216066837,0.7472518682479858
37,0.007000000216066837,0.6215075850486755
38,0.0,0.0758405476808548
39,0.0,0.0001620958064449951
40,0.0,0.36395636200904846
41,0.0699998140335083,0.0016708329785615206
42,0.0,0.00011175333202118054
43,0.0,2.1747193386545405e-05
44,0.0,2.4088501959340647e-05
45,0.0,2.6593155780574307e-05
46,0.06999986618757248,0.0008609907818026841
47,0.06999991834163666,0.0006734778289683163
48,0.0,8.74007455422543e-05
49,0.06999992579221725,0.0006537894369103014
50,0.06500005722045898,0.007746825460344553
51,0.0,0.8269495964050293
52,0.0,3.922576070181094e-06
53,0.02600034512579441,0.20403313636779785
54,0.06999999284744263,0.0011049194727092981
55,0.0,3.403349910513498e-05
56,0.0,3.158243634970859e-05
57,0.06999998539686203,0.0010836945148184896
58,0.0,6.974910320423078e-06
59,0.0,0.6596047282218933
60,0.0,0.6736232042312622
61,0.0,0.917711079120636
62,0.0,9.350493928650394e-05
63,0.0,6.911840955581283e-06
64,0.01800011657178402,0.5415968298912048
65,0.0,2.943950312328525e-05
66,0.0,0.8273090124130249
67,0.0,4.182977136224508e-06
68,0.0,1.6452380577902659e-06
69,0.06999998539686203,0.00012075241102138534
70,0.0,2.577892928457004e-06
71,0.06999999284744263,7.349475345108658e-05
72,0.0,1.4237093637348153e-06
73,0.0,0.9597952961921692
74,0.0,3.3939711556740804e-06
75,0.0,2.5993535928137135e-06
76,0.0,0.5035293102264404
77,0.0,3.4162032989115687e-06
78,0.0,0.9588397741317749
79,0.0,3.144007132505067e-05
80,0.0,4.5797249185852706e-05
81,0.0,0.0006019891588948667
82,0.0,0.00010108103742823005
83,0.06999999284744263,0.00015674640599172562
84,0.0,0.9592774510383606
