Node,Average Rescue Ratio,Average Risk Probability
0,3.524129230624007e-13,6.000176995257789e-07
1,2.2260230707615847e-06,0.006376700010150671
2,3.567843691598682e-07,0.0065122381784021854
3,1.8229644638267928e-07,0.00403330335393548
4,4.235315827827435e-06,0.005908371414989233
5,2.4255093489244928e-09,0.0012242865050211549
6,9.354453140986152e-06,0.0027629327960312366
7,4.040965450258227e-06,0.006207367405295372
8,4.435280587244961e-09,0.0018710030708462
9,1.907240402942989e-05,0.0001661136484472081
10,6.6799780142901e-06,0.0005018470110371709
11,9.320294338976964e-06,6.174321606522426e-05
12,1.2433733900252264e-05,0.3936942517757416
13,1.3609656889457256e-05,0.00011984851153101772
14,8.63368586578872e-06,0.006426124833524227
15,1.2489721484598704e-05,5.0179467507405207e-05
16,1.1215453923796304e-05,5.762926957686432e-05
17,1.2170309673820157e-05,4.556504063657485e-05
18,5.7249917517765425e-06,0.00680763553828001
19,2.840225351974368e-05,0.00015436428657267243
20,5.196989150135778e-06,0.006819920148700476
21,9.872533155430574e-06,2.8552734875120223e-05
22,8.053643796301913e-06,2.4602315534139052e-05
23,5.876062658671799e-08,0.00457930751144886
24,2.823878821800463e-05,0.00024358279188163579
25,1.455774145142641e-05,0.9305436015129089
26,2.470191611791961e-05,0.00014772189024370164
27,1.545642953715287e-05,0.000148027203977108
28,2.2183896362548694e-05,0.0012621224159374833
29,2.1190126062720083e-05,0.9812027812004089
30,2.0638062778743915e-05,7.372729305643588e-05
31,1.5031369002826978e-05,0.9977229833602905
32,3.226465923944488e-05,0.9790507555007935
33,1.904817509057466e-05,0.00019531758152879775
34,2.9203106350905728e-06,0.013727391138672829
35,2.773426786006894e-05,0.00012873821833636612
36,3.722959809238091e-05,0.00027798599330708385
37,6.032244527887087e-06,2.4307983039761893e-05
38,2.1476005713338964e-05,0.9939197301864624
39,4.516202534432523e-05,0.00020633338135667145
40,4.134983100811951e-05,0.00020662315364461392
41,5.2794192015426233e-05,0.0005363176460377872
42,1.3444344403978903e-05,0.9995905756950378
43,1.2129314200137742e-05,0.9978138208389282
44,0.00012040611181873828,0.0035047861747443676
45,0.00014173801173456013,0.0033427588641643524
46,1.3713982298213523e-05,0.9996436238288879
47,0.00023679513833485544,0.008492374792695045
48,5.048475577495992e-05,0.000848284806124866
49,1.1609672583290376e-05,0.999293327331543
50,0.00010803855548147112,0.0013860564213246107
51,8.140021236613393e-06,0.9997903108596802
52,4.710848315880867e-06,0.9998254776000977
53,2.216171196778305e-05,0.0003076267894357443
54,6.474989731941605e-06,0.9998259544372559
55,2.876794860640075e-05,0.0005841077072545886
56,7.172448476922e-06,0.9997407793998718
57,0.00010388194641564041,0.0024366762954741716
58,8.337330655194819e-05,0.0012337913503870368
59,0.00014852506865281612,0.0033004959113895893
60,0.00039975153049454093,0.05297207832336426
61,0.00017667132487986237,0.02051500603556633
62,3.6927362089045346e-05,0.0015955434646457434
63,2.4075106921372935e-05,0.9978387951850891
64,1.570232598169241e-05,0.00011541814455995336
65,0.000718392082490027,0.26586729288101196
66,0.00010112838208442554,0.0016544365789741278
67,0.00014543154975399375,0.004330950789153576
68,1.828083986765705e-05,0.0005513012292794883
69,0.00034436784335412085,0.008858074434101582
70,0.00022785078908782452,0.019383832812309265
71,0.0005277705495245755,0.03254389017820358
72,4.4059899664716795e-05,0.00032338249729946256
73,0.00015887168410699815,0.00379550876095891
74,0.0006238299538381398,0.1021539717912674
75,0.00010884932999033481,0.0025917652528733015
76,9.868301276583225e-05,0.18154415488243103
77,0.00016434150165878236,0.008520408533513546
78,4.256657121004537e-05,0.0009005010942928493
79,0.00011970104242209345,0.003064656164497137
80,0.00021366158034652472,0.00724401231855154
81,6.993622810114175e-05,0.0030181093607097864
82,0.00013310940994415432,0.008523273281753063
83,0.00013809662777930498,0.010304811410605907
84,7.858990284148604e-05,0.0022428762167692184
85,0.00023141437850426883,0.015675891190767288
86,0.0005931304767727852,0.08882042020559311
87,3.500500042719068e-06,0.9999592900276184
88,8.514750516042113e-05,0.018448567017912865
89,1.1360711141605861e-05,0.9974032640457153
