Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,3.300847595255618e-08,1.840654850759904e-10,0.004521453753113747
1,0.004729345440864563,0.0013216634979471564,0.0
2,0.003915407694876194,0.0005121714202687144,0.015088772401213646
3,0.0024097198620438576,0.00027837761444970965,0.010072705335915089
4,0.005162286572158337,0.001648032572120428,0.0
5,0.00030780851375311613,1.1091834494436625e-05,0.009679753333330154
6,0.0035427070688456297,0.0016535870963707566,0.0
7,0.006036852020770311,0.0019069839036092162,0.0
8,0.0006652469746768475,3.037036549358163e-05,0.0
9,0.0002678125165402889,0.00017422856763005257,0.015118739567697048
10,0.0010042848298326135,0.0006244396790862083,0.005143214948475361
11,6.576164742000401e-05,4.910927964374423e-05,0.004811092745512724
12,0.4662974178791046,0.2445651739835739,0.005141280125826597
13,0.00016824156045913696,0.00010431344708194956,0.0100020132958889
14,0.005688665434718132,0.0018680895445868373,0.005141301080584526
15,0.00017373818263877183,0.00015069883374962956,0.0
16,0.00017834390746429563,0.00015701110532972962,0.0
17,0.0001903256488731131,0.00017988868057727814,0.0
18,0.0066952952183783054,0.002099681179970503,0.0051689413376152515
19,0.0003152700373902917,0.00014799756172578782,0.010138504207134247
20,0.004558696411550045,0.0014537692768499255,0.010256306268274784
21,0.00012639487977139652,5.667120422003791e-05,0.015034692361950874
22,0.00011986539175268263,0.00011747251846827567,0.0
23,0.0023827662225812674,0.0002444954006932676,0.0
24,0.00023606444301549345,0.00013698905240744352,0.0049561141058802605
25,0.9233637452125549,0.6674794554710388,0.015384672209620476
26,0.0001851251145126298,0.0001768031215760857,0.0
27,0.0001851251145126298,0.00011376926704542711,0.004945798311382532
28,0.0006437561241909862,0.0003265465784352273,0.005062614567577839
29,0.9671418070793152,0.5921851992607117,0.010107455775141716
30,0.0002272497513331473,0.0002253864804515615,0.0
31,0.9989727735519409,0.994272768497467,0.009611090645194054
32,0.94935142993927,0.737481415271759,0.01022043451666832
33,0.00010524565004743636,9.959136514225975e-05,0.0
34,0.006950038485229015,0.0016239191172644496,0.005139011424034834
35,0.00014704145723953843,0.0001451703137718141,0.0
36,0.0002254260325571522,0.00022433829144574702,0.0
37,4.680061829276383e-05,4.6774028305662796e-05,0.0
38,0.9993628859519958,0.9979244470596313,0.004741245415061712
39,0.0002701145422179252,0.0002691653498914093,0.0
40,0.0002701145422179252,0.0002691653498914093,0.0
41,9.559551108395681e-05,9.446639887755737e-05,0.0
42,0.9997475743293762,0.9997463822364807,0.0
43,0.9966323971748352,0.9201233386993408,0.009874699637293816
44,0.0003403706068638712,0.00014631683006882668,0.004756063222885132
45,0.00043471335084177554,6.959559686947614e-05,0.01873578503727913
46,0.9998444318771362,0.9989301562309265,0.00931872334331274
47,0.00064413360087201,0.0006406871834769845,0.0
48,0.00023747106024529785,0.00023646159388590604,0.0
49,0.9990691542625427,0.9988864064216614,0.0
50,0.0008630690281279385,0.0003457779239397496,0.004786447621881962
51,0.9998928308486938,0.9984838366508484,0.01403149776160717
52,0.999761164188385,0.9988687634468079,0.00461533572524786
53,0.001598460366949439,0.0006226529367268085,0.005151436198502779
54,0.9997562766075134,0.9986182451248169,0.00467795180156827
55,0.0008728244574740529,0.0008728244574740529,0.0
56,0.9996587038040161,0.9982014894485474,0.0047156792134046555
57,0.00018283618555869907,3.922581527149305e-05,0.009077904745936394
58,0.0002701528719626367,0.00026900271768681705,0.0
59,0.0005064387223683298,0.0005056958179920912,0.0
60,0.0007505853427574039,7.554391777375713e-05,0.009252624586224556
61,0.0005441702087409794,0.0005359501228667796,0.0
62,0.00027042062720283866,0.00027006558957509696,0.0
63,0.9990519881248474,0.9905589818954468,0.014590035192668438
