Node,Average Rescue Ratio,Average Risk Probability
0,0.0,3.3008440425419394e-08
1,0.0,0.004729345440864563
2,1.624570108549805e-18,0.003915407229214907
3,1.1115518654638046e-19,0.002409719629213214
4,6.051227092107245e-14,0.005162287037819624
5,3.693602681533075e-26,0.0003078085428569466
6,0.0,0.003542706836014986
7,2.730342604025278e-14,0.006036852020770311
8,1.1274644111261253e-25,0.0006652469746768475
9,0.0,0.0002678125165402889
10,0.0,0.0010042849462479353
11,0.0,6.57616401440464e-05
12,0.0,0.466297447681427
13,5.550200056492205e-12,0.00016824156045913696
14,1.3791330816075031e-13,0.005688665900379419
15,0.0,0.00017373819719068706
16,0.0,0.0001783438929123804
17,0.0,0.0001903256488731131
18,6.858544358530685e-14,0.006695295684039593
19,0.0,0.00031527000828646123
20,6.484414649112966e-14,0.004558696877211332
21,0.0,0.00012639489432331175
22,1.2313539077268842e-11,0.00011986539175268263
23,6.532270338931835e-21,0.0023827662225812674
24,3.73631438288502e-11,0.00023606445756740868
25,0.0,0.9233638048171997
26,0.0,0.00018512512906454504
27,0.0,0.00018512512906454504
28,0.0,0.0006437561823986471
29,0.0,0.9671418070793152
30,0.0,0.00022724972222931683
31,0.0,0.9989727735519409
32,6.964299796574647e-12,0.94935142993927
33,0.0,0.00010524563549552113
34,0.0,0.006950038485229015
35,0.0,0.0001470414426876232
36,0.0,0.00022542601800523698
37,0.0,4.680061829276383e-05
38,0.0,0.9993628263473511
39,0.0,0.0002701145422179252
40,0.0,0.0002701145422179252
41,3.0269992241926946e-12,9.55955038079992e-05
42,0.0,0.9997475743293762
43,6.803490496670728e-12,0.99663245677948
44,0.0,0.0003403706359677017
45,0.0,0.000434713379945606
46,1.4327414038159403e-12,0.9998444318771362
47,0.0,0.0006441335426643491
48,0.0,0.00023747104569338262
49,0.0,0.999069094657898
50,0.0,0.0008630690863355994
51,0.0,0.9998928308486938
52,0.0,0.9997612237930298
53,0.0,0.001598460366949439
54,0.0,0.9997562170028687
55,4.4285286548984004e-10,0.0008728243410587311
56,0.0,0.9996587038040161
57,0.0,0.00018283618555869907
58,4.131631148318604e-11,0.00027015290106646717
59,8.67831431716759e-11,0.0005064387223683298
60,0.0,0.0007505854009650648
61,0.0,0.0005441702669486403
62,2.1055671095560058e-11,0.0002704206563066691
63,7.049833807004635e-12,0.9990519285202026
64,0.0,0.00010462525824550539
65,0.0,0.001886194571852684
66,0.0,0.0007465886301361024
67,0.0,0.0012527435319498181
68,0.0,0.002103606704622507
69,0.0,0.0002803788229357451
70,0.0,0.00042234500870108604
71,0.0,0.0007149343146011233
72,0.0,0.001164991525001824
73,0.0,0.0024810857139527798
74,0.0,0.0015075326664373279
75,0.0,0.0020216850098222494
76,0.0,0.0011939670657739043
77,8.930902239967509e-09,0.003874258603900671
78,0.0,0.00020609013154171407
79,2.0555442764580434e-11,0.00030205913935787976
80,0.0,0.0037876558490097523
81,0.0,0.0004011763376183808
82,0.0,0.00033435571822337806
83,0.0,0.00045195576967671514
84,0.0,0.00027712195878848433
85,0.0,0.00039885513251647353
86,0.0,0.0012223056983202696
87,0.0,0.9999653100967407
88,0.0,0.00042139977449551225
89,0.0,0.9994648694992065
