Epoch 1/500, Train_Loss: 0.0101, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2857,Test_Accuracy: 0.7778
Epoch 2/500, Train_Loss: 0.0068, Train_Accuracy: 0.7740, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2857,Test_Accuracy: 0.7037
Epoch 3/500, Train_Loss: 0.0067, Train_Accuracy: 0.8014, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2857,Test_Accuracy: 0.7778
Epoch 4/500, Train_Loss: 0.0079, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 5/500, Train_Loss: 0.0041, Train_Accuracy: 0.5274, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5556
Epoch 6/500, Train_Loss: 0.0038, Train_Accuracy: 0.6712, Val_Accuracy: 0.6667, Val_F1: 0.6667,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 7/500, Train_Loss: 0.0031, Train_Accuracy: 0.8288, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.8148
Epoch 8/500, Train_Loss: 0.0051, Train_Accuracy: 0.3014, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.3333
Epoch 9/500, Train_Loss: 0.0044, Train_Accuracy: 0.4932, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.3333
Epoch 10/500, Train_Loss: 0.0069, Train_Accuracy: 0.1507, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.2222
Epoch 11/500, Train_Loss: 0.0053, Train_Accuracy: 0.3425, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.4074
Epoch 12/500, Train_Loss: 0.0043, Train_Accuracy: 0.4315, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4074
Epoch 13/500, Train_Loss: 0.0051, Train_Accuracy: 0.3425, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5556
Epoch 14/500, Train_Loss: 0.0064, Train_Accuracy: 0.4110, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4074
Epoch 15/500, Train_Loss: 0.0048, Train_Accuracy: 0.5753, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 16/500, Train_Loss: 0.0037, Train_Accuracy: 0.7260, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 17/500, Train_Loss: 0.0060, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 18/500, Train_Loss: 0.0051, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 19/500, Train_Loss: 0.0058, Train_Accuracy: 0.3767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.3333
Epoch 20/500, Train_Loss: 0.0074, Train_Accuracy: 0.6712, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 21/500, Train_Loss: 0.0048, Train_Accuracy: 0.6986, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5926
Epoch 22/500, Train_Loss: 0.0039, Train_Accuracy: 0.5342, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5926
Epoch 23/500, Train_Loss: 0.0042, Train_Accuracy: 0.8425, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 24/500, Train_Loss: 0.0041, Train_Accuracy: 0.4315, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5926
Epoch 25/500, Train_Loss: 0.0039, Train_Accuracy: 0.5479, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 26/500, Train_Loss: 0.0044, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 27/500, Train_Loss: 0.0039, Train_Accuracy: 0.8288, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 28/500, Train_Loss: 0.0044, Train_Accuracy: 0.5479, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4074
Epoch 29/500, Train_Loss: 0.0042, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7037
Epoch 30/500, Train_Loss: 0.0033, Train_Accuracy: 0.6301, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 31/500, Train_Loss: 0.0040, Train_Accuracy: 0.5890, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4815
Epoch 32/500, Train_Loss: 0.0043, Train_Accuracy: 0.8151, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 33/500, Train_Loss: 0.0037, Train_Accuracy: 0.6986, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.8148
Epoch 34/500, Train_Loss: 0.0033, Train_Accuracy: 0.7123, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.6667
Epoch 35/500, Train_Loss: 0.0057, Train_Accuracy: 0.2055, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.2593
Epoch 36/500, Train_Loss: 0.0047, Train_Accuracy: 0.3219, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.2593
Epoch 37/500, Train_Loss: 0.0044, Train_Accuracy: 0.2945, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.1852
Epoch 38/500, Train_Loss: 0.0057, Train_Accuracy: 0.1644, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.3333
Epoch 39/500, Train_Loss: 0.0054, Train_Accuracy: 0.1986, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.2222
Epoch 40/500, Train_Loss: 0.0038, Train_Accuracy: 0.5411, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 41/500, Train_Loss: 0.0061, Train_Accuracy: 0.2603, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.2963
Epoch 42/500, Train_Loss: 0.0043, Train_Accuracy: 0.7055, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 43/500, Train_Loss: 0.0038, Train_Accuracy: 0.7397, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6296
