Epoch 1/200,Train_Loss: 2.6482,Train_Accuracy: 0.6508,train_F1: 0.6508,train_AUC: 0.3856, Val_Accuracy: 0.8214,Val_F1: 0.8214,Val_AUC: 0.3125
Epoch 2/200,Train_Loss: 1.4459,Train_Accuracy: 0.6032,train_F1: 0.6032,train_AUC: 0.5027, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.9167
Epoch 3/200,Train_Loss: 1.3392,Train_Accuracy: 0.3810,train_F1: 0.3810,train_AUC: 0.5745, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.8542
Epoch 4/200,Train_Loss: 1.3474,Train_Accuracy: 0.3651,train_F1: 0.3651,train_AUC: 0.5667, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.8542
Epoch 5/200,Train_Loss: 1.6603,Train_Accuracy: 0.2778,train_F1: 0.2778,train_AUC: 0.6070, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.8542
Epoch 6/200,Train_Loss: 1.3097,Train_Accuracy: 0.3095,train_F1: 0.3095,train_AUC: 0.6611, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.8542
Epoch 7/200,Train_Loss: 1.3040,Train_Accuracy: 0.3333,train_F1: 0.3333,train_AUC: 0.6754, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.8958
Epoch 8/200,Train_Loss: 1.3193,Train_Accuracy: 0.2302,train_F1: 0.2302,train_AUC: 0.4988, Val_Accuracy: 0.1429,Val_F1: 0.1429,Val_AUC: 0.9688
Epoch 9/200,Train_Loss: 0.8643,Train_Accuracy: 0.3492,train_F1: 0.3492,train_AUC: 0.7137, Val_Accuracy: 0.1786,Val_F1: 0.1786,Val_AUC: 1.0000
Epoch 10/200,Train_Loss: 0.9501,Train_Accuracy: 0.4048,train_F1: 0.4048,train_AUC: 0.5942, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 1.0000
Epoch 11/200,Train_Loss: 0.6798,Train_Accuracy: 0.7460,train_F1: 0.7460,train_AUC: 0.7182, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 0.5938
Epoch 12/200,Train_Loss: 0.8883,Train_Accuracy: 0.5794,train_F1: 0.5794,train_AUC: 0.5170, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 0.5625
Epoch 13/200,Train_Loss: 0.8067,Train_Accuracy: 0.6667,train_F1: 0.6667,train_AUC: 0.5809, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 0.5625
Epoch 14/200,Train_Loss: 0.7953,Train_Accuracy: 0.7143,train_F1: 0.7143,train_AUC: 0.5730, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 0.6146
Epoch 15/200,Train_Loss: 0.6745,Train_Accuracy: 0.6667,train_F1: 0.6667,train_AUC: 0.6783, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 0.9479
Epoch 16/200,Train_Loss: 0.6345,Train_Accuracy: 0.5794,train_F1: 0.5794,train_AUC: 0.6744, Val_Accuracy: 0.7857,Val_F1: 0.7857,Val_AUC: 1.0000
Epoch 17/200,Train_Loss: 0.6678,Train_Accuracy: 0.5952,train_F1: 0.5952,train_AUC: 0.6798, Val_Accuracy: 0.5714,Val_F1: 0.5714,Val_AUC: 1.0000
Epoch 18/200,Train_Loss: 0.6516,Train_Accuracy: 0.4762,train_F1: 0.4762,train_AUC: 0.7083, Val_Accuracy: 0.5357,Val_F1: 0.5357,Val_AUC: 1.0000
Epoch 19/200,Train_Loss: 0.6518,Train_Accuracy: 0.5476,train_F1: 0.5476,train_AUC: 0.7614, Val_Accuracy: 0.5714,Val_F1: 0.5714,Val_AUC: 1.0000
Epoch 20/200,Train_Loss: 0.6915,Train_Accuracy: 0.5159,train_F1: 0.5159,train_AUC: 0.6478, Val_Accuracy: 0.5714,Val_F1: 0.5714,Val_AUC: 1.0000
Epoch 21/200,Train_Loss: 0.5789,Train_Accuracy: 0.5794,train_F1: 0.5794,train_AUC: 0.8239, Val_Accuracy: 0.7857,Val_F1: 0.7857,Val_AUC: 1.0000
Epoch 22/200,Train_Loss: 0.6665,Train_Accuracy: 0.5556,train_F1: 0.5556,train_AUC: 0.6316, Val_Accuracy: 0.8571,Val_F1: 0.8571,Val_AUC: 1.0000
Epoch 23/200,Train_Loss: 0.5915,Train_Accuracy: 0.5317,train_F1: 0.5317,train_AUC: 0.8146, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 24/200,Train_Loss: 0.5442,Train_Accuracy: 0.6984,train_F1: 0.6984,train_AUC: 0.8406, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
